epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,344.993,0.77797,7.66297,0.01814,0.03656,0.13823,0.02883,0.02317,0.52823,13.4131,0.0156,0.000131579,0.000131579,0.000131579
2,667.577,0.56918,6.84724,0.01183,0.35102,0.13538,0.07677,0.06285,0.59754,12.1169,0.01771,0.000259667,0.000259667,0.000259667
3,1003.79,0.61549,6.33486,0.01276,0.30555,0.19304,0.10453,0.08673,0.63399,10.6964,0.01925,0.000382475,0.000382475,0.000382475
4,1345.16,0.61055,5.57479,0.01269,0.25089,0.22483,0.18814,0.15566,0.71303,9.44077,0.02184,0.00037624,0.00037624,0.00037624
5,1688.33,0.63994,5.09696,0.01328,0.17637,0.3469,0.2455,0.19623,0.69187,8.30211,0.02116,0.00036832,0.00036832,0.00036832
6,2020.13,0.60585,4.65362,0.0125,0.22758,0.43181,0.29341,0.24244,0.70422,7.44129,0.02093,0.0003604,0.0003604,0.0003604
7,2346.32,0.62039,4.21471,0.01279,0.27849,0.3955,0.37468,0.30372,0.69848,6.66115,0.02161,0.00035248,0.00035248,0.00035248
8,2674.06,0.61357,3.94826,0.01267,0.39372,0.50432,0.4695,0.3948,0.66438,5.81632,0.02004,0.00034456,0.00034456,0.00034456
9,3000.97,0.60994,3.59308,0.01242,0.37006,0.52161,0.47556,0.404,0.64298,5.30336,0.01934,0.00033664,0.00033664,0.00033664
10,3330.91,0.60482,3.37694,0.01244,0.43915,0.55316,0.5202,0.44826,0.64982,4.87641,0.02026,0.00032872,0.00032872,0.00032872
11,3661.53,0.57046,3.13336,0.0117,0.42439,0.62643,0.54316,0.4648,0.60538,4.33531,0.01833,0.0003208,0.0003208,0.0003208
12,3982.98,0.59536,2.9747,0.01207,0.42749,0.61752,0.55727,0.47271,0.61286,3.94807,0.01872,0.00031288,0.00031288,0.00031288
13,4299.14,0.57272,2.7307,0.01189,0.51647,0.62524,0.59879,0.50644,0.62454,3.69248,0.01859,0.00030496,0.00030496,0.00030496
14,4615.26,0.59171,2.60542,0.01184,0.52103,0.62205,0.62151,0.52501,0.66557,3.44615,0.02073,0.00029704,0.00029704,0.00029704
15,4931.17,0.56384,2.46459,0.01116,0.52619,0.65562,0.64853,0.55166,0.62124,3.17804,0.01841,0.00028912,0.00028912,0.00028912
16,5247.14,0.55277,2.3321,0.01094,0.58346,0.68089,0.69811,0.59956,0.61336,2.79141,0.01843,0.0002812,0.0002812,0.0002812
17,5562.38,0.56648,2.286,0.01155,0.61055,0.59166,0.65946,0.56638,0.59511,2.69294,0.01754,0.00027328,0.00027328,0.00027328
18,5878.34,0.55982,2.16464,0.01153,0.57097,0.71732,0.73686,0.63705,0.60751,2.4435,0.01803,0.00026536,0.00026536,0.00026536
19,6193.55,0.53691,2.07605,0.01074,0.59565,0.70042,0.70279,0.60663,0.60078,2.39658,0.01811,0.00025744,0.00025744,0.00025744
20,6508.87,0.53325,1.98775,0.0108,0.62655,0.63978,0.70414,0.60663,0.59882,2.26844,0.01865,0.00024952,0.00024952,0.00024952
21,6824.11,0.53297,1.95214,0.0108,0.65291,0.68069,0.74871,0.64958,0.57717,2.08171,0.01725,0.0002416,0.0002416,0.0002416
22,7139.39,0.53919,1.84865,0.01084,0.66886,0.74383,0.77702,0.66683,0.61012,1.98647,0.01835,0.00023368,0.00023368,0.00023368
23,7454.48,0.52814,1.7835,0.01085,0.66511,0.77622,0.78265,0.67345,0.58537,1.88027,0.01714,0.00022576,0.00022576,0.00022576
24,7769.95,0.53453,1.75175,0.01071,0.70355,0.68425,0.77347,0.67754,0.56159,1.83357,0.01652,0.00021784,0.00021784,0.00021784
25,8085.17,0.51722,1.69692,0.0103,0.75227,0.75728,0.82762,0.72727,0.57201,1.66046,0.017,0.00020992,0.00020992,0.00020992
26,8400.35,0.52872,1.62355,0.01041,0.6804,0.79661,0.81041,0.71714,0.54665,1.65904,0.01619,0.000202,0.000202,0.000202
