epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2170.98,1.58782,2.89253,0.01933,0.82162,0.56945,0.68241,0.42718,1.41625,1.34788,0.02263,0.000132468,0.000132468,0.000132468
2,3344,1.47358,1.72775,0.01707,0.73525,0.75065,0.84959,0.54394,1.3691,0.95411,0.02206,0.000260538,0.000260538,0.000260538
3,4364.81,1.45356,1.43302,0.01682,0.858,0.80558,0.8981,0.57953,1.33606,0.84297,0.02149,0.000383328,0.000383328,0.000383328
4,5399.48,1.46492,1.34509,0.01673,0.88114,0.87331,0.92516,0.60377,1.33068,0.76029,0.02121,0.00037624,0.00037624,0.00037624
5,6351.48,1.43288,1.22039,0.01662,0.91673,0.88215,0.95469,0.60252,1.35932,0.6824,0.02173,0.00036832,0.00036832,0.00036832
6,7319.44,1.41719,1.08571,0.01634,0.88406,0.89185,0.94738,0.6095,1.34949,0.69822,0.02159,0.0003604,0.0003604,0.0003604
7,8322.44,1.39111,1.08341,0.01597,0.92378,0.91763,0.95261,0.60896,1.36424,0.6136,0.02127,0.00035248,0.00035248,0.00035248
8,9298.58,1.39342,1.04367,0.01591,0.89068,0.87853,0.94015,0.61364,1.32116,0.62614,0.02086,0.00034456,0.00034456,0.00034456
9,10277.2,1.39215,0.99785,0.01592,0.88528,0.92098,0.95196,0.62121,1.34034,0.59907,0.02143,0.00033664,0.00033664,0.00033664
10,11280,1.35526,0.95273,0.01569,0.89986,0.91545,0.96524,0.62659,1.3496,0.57835,0.02161,0.00032872,0.00032872,0.00032872
11,12257.2,1.33012,0.93116,0.01533,0.9414,0.88107,0.94537,0.62227,1.32376,0.53401,0.02095,0.0003208,0.0003208,0.0003208
12,13264.5,1.34126,0.89991,0.01522,0.91704,0.92208,0.95531,0.60979,1.3626,0.51034,0.02189,0.00031288,0.00031288,0.00031288
13,14230.7,1.33126,0.88181,0.01507,0.91324,0.94207,0.96539,0.62666,1.32427,0.52111,0.02115,0.00030496,0.00030496,0.00030496
14,15202.6,1.31624,0.87357,0.01506,0.89656,0.90926,0.95429,0.64061,1.32182,0.50709,0.02102,0.00029704,0.00029704,0.00029704
15,16173.6,1.32522,0.8103,0.01517,0.9227,0.92826,0.96308,0.62128,1.34916,0.48887,0.02157,0.00028912,0.00028912,0.00028912
16,17145.3,1.30235,0.79423,0.015,0.86036,0.93801,0.96022,0.62243,1.34852,0.52575,0.02133,0.0002812,0.0002812,0.0002812
17,18138.3,1.30459,0.79782,0.01498,0.89723,0.92058,0.93185,0.59496,1.32896,0.55825,0.0212,0.00027328,0.00027328,0.00027328
18,19134.5,1.28932,0.78871,0.0147,0.91184,0.90966,0.95486,0.62766,1.31447,0.52688,0.02097,0.00026536,0.00026536,0.00026536
19,20074.8,1.27331,0.75887,0.01469,0.9474,0.93873,0.9675,0.62709,1.36216,0.45464,0.02163,0.00025744,0.00025744,0.00025744
20,21060.5,1.29024,0.73251,0.01474,0.91221,0.9365,0.95482,0.61788,1.34283,0.45491,0.02139,0.00024952,0.00024952,0.00024952
21,22067.7,1.26711,0.75418,0.01455,0.90073,0.94245,0.94659,0.61398,1.32394,0.45619,0.02085,0.0002416,0.0002416,0.0002416
22,23080.2,1.25277,0.70767,0.01421,0.93049,0.92828,0.9564,0.60766,1.37809,0.47018,0.02172,0.00023368,0.00023368,0.00023368
23,24066.3,1.26127,0.73652,0.01456,0.92362,0.94064,0.95783,0.60735,1.36184,0.49829,0.02178,0.00022576,0.00022576,0.00022576
24,25031.5,1.24437,0.71807,0.01411,0.95259,0.94043,0.96665,0.62937,1.33438,0.47866,0.0213,0.00021784,0.00021784,0.00021784
25,26009.6,1.22522,0.70103,0.01384,0.90143,0.93722,0.95704,0.6112,1.3799,0.50278,0.02203,0.00020992,0.00020992,0.00020992
26,26996.4,1.20799,0.69873,0.01364,0.95402,0.93555,0.96244,0.62898,1.32126,0.48417,0.02101,0.000202,0.000202,0.000202
27,27993.3,1.20586,0.69364,0.01335,0.92982,0.95661,0.97006,0.62989,1.34501,0.46519,0.02137,0.00019408,0.00019408,0.00019408
28,28943.2,1.18712,0.64762,0.01341,0.93352,0.92527,0.94592,0.61353,1.3371,0.47831,0.02101,0.00018616,0.00018616,0.00018616
29,29965.7,1.15081,0.66874,0.01309,0.94462,0.93955,0.95803,0.62479,1.36072,0.45596,0.02164,0.00017824,0.00017824,0.00017824
30,31006.4,1.16364,0.66129,0.01295,0.95758,0.94435,0.96123,0.61346,1.38055,0.47462,0.02197,0.00017032,0.00017032,0.00017032
31,31966.7,1.17252,0.63533,0.01322,0.94885,0.91928,0.96677,0.62505,1.35425,0.46944,0.02157,0.0001624,0.0001624,0.0001624
32,33279.8,1.16627,0.63257,0.01335,0.94324,0.93856,0.95997,0.6244,1.35825,0.43705,0.02147,0.00015448,0.00015448,0.00015448
